Question,Answer,BotId
create tar.gz file ,"Resolution:

Step 1 : Add maven-assembly-plugin in pom.xml file as below

<plugin>

         <groupId>org.apache.maven.plugins</groupId>

         <artifactId>maven-assembly-plugin</artifactId>

         <version>2.4</version>

         <executions>

                 <execution>

                         <phase>package</phase>

                         <goals>

                                 <goal>single</goal>

                         </goals>

                 </execution>

         </executions>

         <configuration>

                 <appendAssemblyId>false</appendAssemblyId>

                 <descriptors>

                         <descriptor>assembly.xml</descriptor>

                 </descriptors>

         </configuration>

  </plugin>

 

 

Step 2 : Create or need to have assembly.xml file, Below is the content of assembly.xml file.

<?xml version=""1.0""?>

     <assembly>

          <id>${project.version}</id>

          <formats>

               <format>tar.gz</format>

          </formats>

          <files>

            <file>

                 <source>pom.xml</source>

                 <outputDirectory>/package</outputDirectory>

            </file>

          </files>

         <includeBaseDirectory>false</includeBaseDirectory>

          <fileSets>

                  <fileSet>

                      <directory>${project.build.directory}/../package</directory>

                      <outputDirectory>/</outputDirectory>

                   </fileSet>

          </fileSets>

     </assembly>",5b3470df8982d029e48a4c0d
Creation of tar.gz file during build,"Resolution:

Step 1 : Add maven-assembly-plugin in pom.xml file as below

<plugin>

         <groupId>org.apache.maven.plugins</groupId>

         <artifactId>maven-assembly-plugin</artifactId>

         <version>2.4</version>

         <executions>

                 <execution>

                         <phase>package</phase>

                         <goals>

                                 <goal>single</goal>

                         </goals>

                 </execution>

         </executions>

         <configuration>

                 <appendAssemblyId>false</appendAssemblyId>

                 <descriptors>

                         <descriptor>assembly.xml</descriptor>

                 </descriptors>

         </configuration>

  </plugin>

 

 

Step 2 : Create or need to have assembly.xml file, Below is the content of assembly.xml file.

<?xml version=""1.0""?>

     <assembly>

          <id>${project.version}</id>

          <formats>

               <format>tar.gz</format>

          </formats>

          <files>

            <file>

                 <source>pom.xml</source>

                 <outputDirectory>/package</outputDirectory>

            </file>

          </files>

         <includeBaseDirectory>false</includeBaseDirectory>

          <fileSets>

                  <fileSet>

                      <directory>${project.build.directory}/../package</directory>

                      <outputDirectory>/</outputDirectory>

                   </fileSet>

          </fileSets>

     </assembly>",5b3470df8982d029e48a4c0d
Creating tar.gz file while build,"Resolution:

Step 1 : Add maven-assembly-plugin in pom.xml file as below

<plugin>

         <groupId>org.apache.maven.plugins</groupId>

         <artifactId>maven-assembly-plugin</artifactId>

         <version>2.4</version>

         <executions>

                 <execution>

                         <phase>package</phase>

                         <goals>

                                 <goal>single</goal>

                         </goals>

                 </execution>

         </executions>

         <configuration>

                 <appendAssemblyId>false</appendAssemblyId>

                 <descriptors>

                         <descriptor>assembly.xml</descriptor>

                 </descriptors>

         </configuration>

  </plugin>

 

 

Step 2 : Create or need to have assembly.xml file, Below is the content of assembly.xml file.

<?xml version=""1.0""?>

     <assembly>

          <id>${project.version}</id>

          <formats>

               <format>tar.gz</format>

          </formats>

          <files>

            <file>

                 <source>pom.xml</source>

                 <outputDirectory>/package</outputDirectory>

            </file>

          </files>

         <includeBaseDirectory>false</includeBaseDirectory>

          <fileSets>

                  <fileSet>

                      <directory>${project.build.directory}/../package</directory>

                      <outputDirectory>/</outputDirectory>

                   </fileSet>

          </fileSets>

     </assembly>",5b3470df8982d029e48a4c0d
tar.gz file creation steps,"Resolution:

Step 1 : Add maven-assembly-plugin in pom.xml file as below

<plugin>

         <groupId>org.apache.maven.plugins</groupId>

         <artifactId>maven-assembly-plugin</artifactId>

         <version>2.4</version>

         <executions>

                 <execution>

                         <phase>package</phase>

                         <goals>

                                 <goal>single</goal>

                         </goals>

                 </execution>

         </executions>

         <configuration>

                 <appendAssemblyId>false</appendAssemblyId>

                 <descriptors>

                         <descriptor>assembly.xml</descriptor>

                 </descriptors>

         </configuration>

  </plugin>

 

 

Step 2 : Create or need to have assembly.xml file, Below is the content of assembly.xml file.

<?xml version=""1.0""?>

     <assembly>

          <id>${project.version}</id>

          <formats>

               <format>tar.gz</format>

          </formats>

          <files>

            <file>

                 <source>pom.xml</source>

                 <outputDirectory>/package</outputDirectory>

            </file>

          </files>

         <includeBaseDirectory>false</includeBaseDirectory>

          <fileSets>

                  <fileSet>

                      <directory>${project.build.directory}/../package</directory>

                      <outputDirectory>/</outputDirectory>

                   </fileSet>

          </fileSets>

     </assembly>",5b3470df8982d029e48a4c0d
how can I create tar.gz file as a part of build,"Resolution:

Step 1 : Add maven-assembly-plugin in pom.xml file as below

<plugin>

         <groupId>org.apache.maven.plugins</groupId>

         <artifactId>maven-assembly-plugin</artifactId>

         <version>2.4</version>

         <executions>

                 <execution>

                         <phase>package</phase>

                         <goals>

                                 <goal>single</goal>

                         </goals>

                 </execution>

         </executions>

         <configuration>

                 <appendAssemblyId>false</appendAssemblyId>

                 <descriptors>

                         <descriptor>assembly.xml</descriptor>

                 </descriptors>

         </configuration>

  </plugin>

 

 

Step 2 : Create or need to have assembly.xml file, Below is the content of assembly.xml file.

<?xml version=""1.0""?>

     <assembly>

          <id>${project.version}</id>

          <formats>

               <format>tar.gz</format>

          </formats>

          <files>

            <file>

                 <source>pom.xml</source>

                 <outputDirectory>/package</outputDirectory>

            </file>

          </files>

         <includeBaseDirectory>false</includeBaseDirectory>

          <fileSets>

                  <fileSet>

                      <directory>${project.build.directory}/../package</directory>

                      <outputDirectory>/</outputDirectory>

                   </fileSet>

          </fileSets>

     </assembly>",5b3470df8982d029e48a4c0d
How to modify group id and artifact id of pom.xml using script in Job configuration,"Resolution:

Navigate to Configure in Jenkins job page, Add pre-build step and select Execute shell, add the command.

Following are the steps to modify group id and  artifact id of pom.xml file in Job configuration

      1.  Select ""Execute Shell"" option from ""Add pre-build step""

   2. Add below command in provided command area.

               find . -name pom.xml -exec sed -i 's/Order_Orch_Group/it\.cvc\.ciscocommerce\.ccwooccwys2\.ys2oc2 /g' '{}' \; ;

Build Failure due to incorrect POM.XML path

Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.
Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.

",5b3470df8982d029e48a4c0d
How to change group id and artifact id of pom.xml using script in Job configuration,"Resolution:

Navigate to Configure in Jenkins job page, Add pre-build step and select Execute shell, add the command.

Following are the steps to modify group id and  artifact id of pom.xml file in Job configuration

      1.  Select ""Execute Shell"" option from ""Add pre-build step""

   2. Add below command in provided command area.

               find . -name pom.xml -exec sed -i 's/Order_Orch_Group/it\.cvc\.ciscocommerce\.ccwooccwys2\.ys2oc2 /g' '{}' \; ;

Build Failure due to incorrect POM.XML path

Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.
Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.

",5b3470df8982d029e48a4c0d
How to update group id and artifact id of pom.xml using script in Job configuration,"Resolution:

Navigate to Configure in Jenkins job page, Add pre-build step and select Execute shell, add the command.

Following are the steps to modify group id and  artifact id of pom.xml file in Job configuration

      1.  Select ""Execute Shell"" option from ""Add pre-build step""

   2. Add below command in provided command area.

               find . -name pom.xml -exec sed -i 's/Order_Orch_Group/it\.cvc\.ciscocommerce\.ccwooccwys2\.ys2oc2 /g' '{}' \; ;

Build Failure due to incorrect POM.XML path

Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.
Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.

",5b3470df8982d029e48a4c0d
updation of  group id and artifact id of pom.xml using script in Job configuration,"Resolution:

Navigate to Configure in Jenkins job page, Add pre-build step and select Execute shell, add the command.

Following are the steps to modify group id and  artifact id of pom.xml file in Job configuration

      1.  Select ""Execute Shell"" option from ""Add pre-build step""

   2. Add below command in provided command area.

               find . -name pom.xml -exec sed -i 's/Order_Orch_Group/it\.cvc\.ciscocommerce\.ccwooccwys2\.ys2oc2 /g' '{}' \; ;

Build Failure due to incorrect POM.XML path

Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.
Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.

",5b3470df8982d029e48a4c0d
Steps to modify group id and artifact id of pom.xml,"Resolution:

Navigate to Configure in Jenkins job page, Add pre-build step and select Execute shell, add the command.

Following are the steps to modify group id and  artifact id of pom.xml file in Job configuration

      1.  Select ""Execute Shell"" option from ""Add pre-build step""

   2. Add below command in provided command area.

               find . -name pom.xml -exec sed -i 's/Order_Orch_Group/it\.cvc\.ciscocommerce\.ccwooccwys2\.ys2oc2 /g' '{}' \; ;

Build Failure due to incorrect POM.XML path

Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.
Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.

",5b3470df8982d029e48a4c0d
Modification of  group id and artifact id of pom.xml using script in Job configuration,"Resolution:

Navigate to Configure in Jenkins job page, Add pre-build step and select Execute shell, add the command.

Following are the steps to modify group id and  artifact id of pom.xml file in Job configuration

      1.  Select ""Execute Shell"" option from ""Add pre-build step""

   2. Add below command in provided command area.

               find . -name pom.xml -exec sed -i 's/Order_Orch_Group/it\.cvc\.ciscocommerce\.ccwooccwys2\.ys2oc2 /g' '{}' \; ;

Build Failure due to incorrect POM.XML path

Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.
Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.

",5b3470df8982d029e48a4c0d
changing group id and artifact id of pom.xml,"Resolution:

Navigate to Configure in Jenkins job page, Add pre-build step and select Execute shell, add the command.

Following are the steps to modify group id and  artifact id of pom.xml file in Job configuration

      1.  Select ""Execute Shell"" option from ""Add pre-build step""

   2. Add below command in provided command area.

               find . -name pom.xml -exec sed -i 's/Order_Orch_Group/it\.cvc\.ciscocommerce\.ccwooccwys2\.ys2oc2 /g' '{}' \; ;

Build Failure due to incorrect POM.XML path

Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.
Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.

",5b3470df8982d029e48a4c0d
script modification of group id and artifact id of pom.xml in job configuration,"Resolution:

Navigate to Configure in Jenkins job page, Add pre-build step and select Execute shell, add the command.

Following are the steps to modify group id and  artifact id of pom.xml file in Job configuration

      1.  Select ""Execute Shell"" option from ""Add pre-build step""

   2. Add below command in provided command area.

               find . -name pom.xml -exec sed -i 's/Order_Orch_Group/it\.cvc\.ciscocommerce\.ccwooccwys2\.ys2oc2 /g' '{}' \; ;

Build Failure due to incorrect POM.XML path

Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.
Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.

",5b3470df8982d029e48a4c0d
Build failure due to incorrect pom.xml path,"Please find the Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.

Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.
Please refer this document for more information. Please visit the below page for more details.
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_Failure_due_to_incorrect_POMXML_path

",5b3470df8982d029e48a4c0d
What to do if build fails due to incorrect pom.xml path,"Please find the Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.

Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.
Please refer this document for more information. Please visit the below page for more details.
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_Failure_due_to_incorrect_POMXML_path

",5b3470df8982d029e48a4c0d
build failed due to wrong pom.xml path,"Please find the Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.

Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.
Please refer this document for more information. Please visit the below page for more details.
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_Failure_due_to_incorrect_POMXML_path

",5b3470df8982d029e48a4c0d
Steps to rebuild when build fails due to incorrect pom.xml path,"Please find the Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.

Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.
Please refer this document for more information. Please visit the below page for more details.
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_Failure_due_to_incorrect_POMXML_path

",5b3470df8982d029e48a4c0d
error due to wrong pom.xml path,"Please find the Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.

Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.
Please refer this document for more information. Please visit the below page for more details.
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_Failure_due_to_incorrect_POMXML_path

",5b3470df8982d029e48a4c0d
how to correct pom.xml path,"Please find the Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.

Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.
Please refer this document for more information. Please visit the below page for more details.
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_Failure_due_to_incorrect_POMXML_path

",5b3470df8982d029e48a4c0d
build issue for wrong pom.xml path,"Please find the Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.

Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.
Please refer this document for more information. Please visit the below page for more details.
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_Failure_due_to_incorrect_POMXML_path

",5b3470df8982d029e48a4c0d
how to enable security scan in jenkins configuration,"If it is freestyle project, then please select ""Static Security Scan"" from Add build step

If it is a maven project, then please select ""Static security scan"" from Add Post Build Step option in Jenkins configuration

",5b3470df8982d029e48a4c0d
enable security scan,"If it is freestyle project, then please select ""Static Security Scan"" from Add build step

If it is a maven project, then please select ""Static security scan"" from Add Post Build Step option in Jenkins configuration

",5b3470df8982d029e48a4c0d
security scan enable in jenkins ,"If it is freestyle project, then please select ""Static Security Scan"" from Add build step

If it is a maven project, then please select ""Static security scan"" from Add Post Build Step option in Jenkins configuration

",5b3470df8982d029e48a4c0d
how to access security scan in jenkins configuration,"If it is freestyle project, then please select ""Static Security Scan"" from Add build step

If it is a maven project, then please select ""Static security scan"" from Add Post Build Step option in Jenkins configuration

",5b3470df8982d029e48a4c0d
security scan enablement in jenkins configuration,"If it is freestyle project, then please select ""Static Security Scan"" from Add build step

If it is a maven project, then please select ""Static security scan"" from Add Post Build Step option in Jenkins configuration

",5b3470df8982d029e48a4c0d
security scan enablement ,"If it is freestyle project, then please select ""Static Security Scan"" from Add build step

If it is a maven project, then please select ""Static security scan"" from Add Post Build Step option in Jenkins configuration

",5b3470df8982d029e48a4c0d
modify security scan,"If it is freestyle project, then please select ""Static Security Scan"" from Add build step

If it is a maven project, then please select ""Static security scan"" from Add Post Build Step option in Jenkins configuration

",5b3470df8982d029e48a4c0d
change security scan in jenkins,"If it is freestyle project, then please select ""Static Security Scan"" from Add build step

If it is a maven project, then please select ""Static security scan"" from Add Post Build Step option in Jenkins configuration

",5b3470df8982d029e48a4c0d
allow security scan in jenkins,"If it is freestyle project, then please select ""Static Security Scan"" from Add build step

If it is a maven project, then please select ""Static security scan"" from Add Post Build Step option in Jenkins configuration

",5b3470df8982d029e48a4c0d
provide security scan in jenkins,"If it is freestyle project, then please select ""Static Security Scan"" from Add build step

If it is a maven project, then please select ""Static security scan"" from Add Post Build Step option in Jenkins configuration

",5b3470df8982d029e48a4c0d
build is failing due to static security scan,"Issue Description :

Jenkins Build is failing with due to Static Security Scan as shown in below screenshot.

Resolution :

Once we add the Repository URL(code base URL) under SCM details in Jenkins configuration, issue will be resolved.

 ",5b3470df8982d029e48a4c0d
build error due to static security scan,"Issue Description :

Jenkins Build is failing with due to Static Security Scan as shown in below screenshot.

Resolution :

Once we add the Repository URL(code base URL) under SCM details in Jenkins configuration, issue will be resolved.

 ",5b3470df8982d029e48a4c0d
build cancelled due to static security scan,"Issue Description :

Jenkins Build is failing with due to Static Security Scan as shown in below screenshot.

Resolution :

Once we add the Repository URL(code base URL) under SCM details in Jenkins configuration, issue will be resolved.

 ",5b3470df8982d029e48a4c0d
static security scan build error,"Issue Description :

Jenkins Build is failing with due to Static Security Scan as shown in below screenshot.

Resolution :

Once we add the Repository URL(code base URL) under SCM details in Jenkins configuration, issue will be resolved.

 ",5b3470df8982d029e48a4c0d
build issue in static security scan,"Issue Description :

Jenkins Build is failing with due to Static Security Scan as shown in below screenshot.

Resolution :

Once we add the Repository URL(code base URL) under SCM details in Jenkins configuration, issue will be resolved.
",5b3470df8982d029e48a4c0d
"While downloading the jar from artifactory, unauthorized error is coming in build","Resolution :
Please add jenkins-ci.gen to your respective adam groups which has the access to the artifactory.",5b3470df8982d029e48a4c0d
"artifactory, unauthorized error coming in build while downloading the jar","Resolution :
Please add jenkins-ci.gen to your respective adam groups which has the access to the artifactory.",5b3470df8982d029e48a4c0d
unauthorized error is coming while downloading jar from artifactory ,"Resolution :
Please add jenkins-ci.gen to your respective adam groups which has the access to the artifactory.",5b3470df8982d029e48a4c0d
unauthorized issue when downloading the jar from artifactory,"Resolution :
Please add jenkins-ci.gen to your respective adam groups which has the access to the artifactory.",5b3470df8982d029e48a4c0d
unauthorized error downloading jar ,"Resolution :
Please add jenkins-ci.gen to your respective adam groups which has the access to the artifactory.",5b3470df8982d029e48a4c0d
How to generate CD analytics report from jenkins job?,"By default, every Jenkins job is enabled for CD analytics report generation, you can access the report from below URL:
https://cdanalytics.cisco.com/software/home",5b3470df8982d029e48a4c0d
generating cd analytics report from jenkins job,"By default, every Jenkins job is enabled for CD analytics report generation, you can access the report from below URL:
https://cdanalytics.cisco.com/software/home",5b3470df8982d029e48a4c0d
report generation of cd analytics from jenkins job,"By default, every Jenkins job is enabled for CD analytics report generation, you can access the report from below URL:
https://cdanalytics.cisco.com/software/home",5b3470df8982d029e48a4c0d
