storyName,intentName,apiTrigger,labeledSentences,speechResponse,parameters
What happens if Legal Hold is applied on a document with Retention Policy,faq_intent,FALSE,What happens if Legal Hold is applied on a document with Retention Policy,"If a document is on legal hold, the records management policy will be suspended until the hold has been removed. We anticipate Legal Hold functionality will be live approximately in Q1 FY18.
 Note : A legal hold is a process that an organization uses to preserve all forms of relevant information when litigation is reasonably anticipated.",
How can I prevent my documents from being deleted,faq_intent,FALSE,How can I prevent my documents from being deleted,"If your non-record documents have ongoing business value, you should mark them as records . Click here to see step by step instructions to mark folders as records. Please note that the deletion of records cannot be avoided, but new versions can always be added. A new deletion date will be set based on the new version's creation date.",
When will purge be implemented,faq_intent,FALSE,When will purge be implemented,The purge functionality will only be implemented after the Legal Hold functionality is in place. We anticipate Legal Hold functionality will be live approximately in Q1FY18. The purge functionality will go-live shortly thereafter.,
What should I test in the RM Pilot,faq_intent,FALSE,What should I test in the RM Pilot,"1. Records Management
2. Purging of non-records
 please click on link for detailed information : https://cisco.jiveon.com/docs/DOC-1627828",
What training and communication features should I give feedback on,faq_intent,FALSE,What training and communication features should I give feedback on,"1. System Generated Emails
2. Feedback on Manage Expiring Content User Interface
3. Feedback on completeness and clarity of FAQs
4. Feedback on clarity and usefulness of step-by-step instructions
please click on link for detailed information : https://cisco.jiveon.com/docs/DOC-1627828",
How to create a Records Management Rule,faq_intent,FALSE,How to create a Records Management Rule,Please click on link for deatiled steps : https://cisco.jiveon.com/docs/DOC-1504395,
Do I need specific role/previlate to convert document as record,faq_intent,FALSE,Do I need specific role/previlate to convert document as record,"Yes, You must first have the Business Retention Manager permission before you can apply a Records Management Rule",
How can I get Business Retention Manager role,faq_intent,FALSE,How can I get Business Retention Manager role,"Please drop an email to ERIM (erim_bus_team@cisco.com) team  and provide business justification, they will grant the required roles",
What if have documents that are already in a folder to be marked as records,faq_intent,FALSE,What if have documents that are already in a folder to be marked as records,"You will see the rule that you have created on the folder listed.
Click ""Run Record Rule"" button on top of the screen. You will get a pop-up message confirming that the documents will be converted to records and an email will be sent once the process is complete",
How to run a Deletion Report,faq_intent,FALSE,How to run a Deletion Report,Please click on given link for detailed information : https://cisco.jiveon.com/docs/DOC-1530069,
Where am I supposed to store records,faq_intent,FALSE,Where am I supposed to store records,"Doc Central is the preferred record management systems at Cisco. If other business specific systems are used as a record management system,it must meet criteria for identification, storage, protection, retention time, and disposition. Refer to Record Management Process for more details.",
Are there any guidelines for managing and retaining Cisco records,faq_intent,FALSE,Are there any guidelines for managing and retaining Cisco records,"Cisco Enterprise Records Information Management (ERIM) provides specific guidelines for systematically managing and retaining Cisco records in all media, from the time the records are created or received through their retention period until disposition, in order to support efficient business operations, regulatory and legal compliance needs",
Can I apply retention at Document level,faq_intent,FALSE,Can I apply retention at Document level,"No, only allowed at Folder level",
List of available policies in Cisco Docs,faq_intent,FALSE,List of available policies in Cisco Docs,Please reach out to ERIM team (erim_bus_team@cisco.com),
Can I apply multiple policies on a single document,faq_intent,FALSE,Can I apply multiple policies on a single document,Only a single policy can be applied in Doc Central,
How the retention disposition date calculated,faq_intent,FALSE,How the retention disposition date calculated,Disposition date will be calculated from document creation date,
When Purge and Archive will be available in DC,faq_intent,FALSE,When Purge and Archive will be available in DC,Once the devlopment done we will notify via mail to all DC users,
When Legal Hold feature will be available in DC,faq_intent,FALSE,When Legal Hold feature will be available in DC,Once the devlopment done we will notify via mail to Legal team,
What are different type of RM policies available in DC,faq_intent,FALSE,What are different type of RM policies available in DC,only Timebased Policies are available as of now.,
I am unable to see Records Management site at DC,faq_intent,FALSE,I am unable to see Records Management site at DC,Please check whether you have RM admin role permissions or not. ERIM users only will have access to RM site. If you have any questions please reach out to ERIM team (erim_bus_team@cisco.com),
Is there a plan to implement event based retention,faq_intent,FALSE,Is there a plan to implement event based retention,There is no plan to implement the event based retention. All the event based retention policies will be mapped to time based retention policies in Doc central,
How we will map Legacy Retention Polcies in DC,faq_intent,FALSE,How we will map Legacy Retention Polcies in DC,ERIM team will take care of Policy mappings.,
What is records disposition,faq_intent,FALSE,What is records disposition,"The disposition of records is the last phase of the Records Management Life Cycle. Timely, efficient, and secure disposition of records is a necessary component of complying with Cisco's Records Management Policy",
What requirements must be satisfied for records disposition,faq_intent,FALSE,What requirements must be satisfied for records disposition,Records are eligible for disposal only after it reaches disposition date,
How long are records retained prior to the disposition phase,faq_intent,FALSE,How long are records retained prior to the disposition phase,The length of time that records are kept is governed by Cisco's Enterprise Records Retention Schedule. Use the Enterprise Records Retention Search Tool to identify the country-specific retention period for a selected record category.,
How would I know when my content is going to dispose from system,faq_intent,FALSE,How would I know when my content is going to dispose from system,"If any of your content is going to be disposed from syatem , you will recieave a mail notification or you can check from Doc Central application by navigationg to Expiring Content.",
hi,faq_intent,FALSE,hi,Hello ,
"Doc Central, Jive, Box ... which system should I use for what",faq_intent,FALSE,"Doc Central, Jive, Box ... which system should I use for what",There are a lot of different options available and Cisco is working hard to consolidate them and provide guidance and where to put your stuff.  For more information visit the Digital Solutions Center.,
Is Doc Central ISO approved,faq_intent,FALSE,Is Doc Central ISO approved,"Yes, Doc Central is an ISO approved content management repository for your documents.  There is an approval workflow and document versioning.",
How do I get started using Doc Central,faq_intent,FALSE,How do I get started using Doc Central,"To get started using Doc Central you need to obtain access to an area where you have permissions to create new content.  The two best ways to do this are:
1. See if other members of your team have already set up an area in Doc Central.  If they have you can simply ask them for access to the folder location.  Each area has a Folder Admin and each file has an Owner who can add users with the correct roles so they can create, edit, preview, download and manage content.  To request access select the Show Owner button for a file and Show Admin for a folder.
2. If you want a new folder to be created select the Request New Folder button so you can get an area for you or your group to work in.",
What is the maximum individual file size allowed,faq_intent,FALSE,What is the maximum individual file size allowed,"There is no limit presently set when uploading a file into Doc Central. That said, depending on your network connection, you may experience upload issues if the file is larger than 1 GB.",
Where do I go for Doc Central support,faq_intent,FALSE,Where do I go for Doc Central support,"Open a Remedy case. To open a Remedy case go to Remedy and search on ""Doc Central"" to find the appropriate case to use.
Email the Doc Central support team using the doc-central-level1@cisco.com mailer.  Please do not over use this mailer without also opening a Remedy case.",
How does Doc Central use Grouper and Mailer for organizing groups,faq_intent,FALSE,How does Doc Central use Grouper and Mailer for organizing groups,Doc Central supports both mailer and grouper groups.  To see how these can be configured and applied review our video tutorial,
Can I use Active Directory (AD) groups to control permissions,faq_intent,FALSE,Can I use Active Directory (AD) groups to control permissions,Yes you can ... indirectly.  Since Doc Central supports Grouper groups and mailer groups you can place an AD group inside one of those.  Below see an example snap shot of some HR maintained groups for manager Jordan Jones (jorjones) for regular employees and C Workers.,
Can I add and remove users from an active workflow,faq_intent,FALSE,Can I add and remove users from an active workflow,"Yes, as of April 14th, 2017 this feature is available.  Use the Update Approvers button which is visible to anyone who started the workflow.",
Are there any Doc Central video tutorials,faq_intent,FALSE,Are there any Doc Central video tutorials,The Doc Central team has created a set of training videos which you can find here.,
Where can I find out more about Records Management and Purge functionality in Doc Central,faq_intent,FALSE,Where can I find out more about Records Management and Purge functionality in Doc Central,"Records Management enables users to apply retention policies and make sure important Cisco content is kept for the right amount of time, while the purge functionality ensures compliance with Cisco policy and helps to manage the growth of Doc Central by removing documents that no longer have business value and are not required to be retained for legal or regulatory purpose. Learn more about Records Management and Purge in the FAQ.",
How do I add new files,faq_intent,FALSE,How do I add new files,There are two ways to add files into Doc Central but for either you need to have write access to the folder you are wanting to use.  Write access in Doc Central is called the Editor role.,
To check if you have write access,faq_intent,FALSE,To check if you have write access,The Upload button is not greyed out when you navigate to the folder you want to write into.  If you attempt to drag and drop files into the folder you will immediately get an Upload screen telling you that your files will be accepted.,
To ask for access ...,faq_intent,FALSE,To ask for access ...,Select the Show Admin button for any file you do not have access too and ask for the Editor role.,
Can I drag and drop an entire folder into Doc Central,faq_intent,FALSE,Can I drag and drop an entire folder into Doc Central,You can select multiple files and do a single drag and drop of those files into a folder you have write access to (Editor role). You cannot drag and drop a folder for the purpose of inputting an entire folder and its contents into Doc Central.,
What special characters are not allowed in file and folder names,faq_intent,FALSE,What special characters are not allowed in file and folder names,"‘.'  is allowed only in-between, not at the end of folder names
':', '*', '/' , '\' , '?’ , '<' , '>', '“” ', ’|’ are not allowed at all in either folder 0r file name",
To move a file ,faq_intent,FALSE,To move a file ,"1. Click on the file to enter the page preview screen
2. Select Move To button
3. Find the folder you want to move the file into.  All non valid folders (no write access) will be greyed out.
4. Enter in reason for the move
5. Submit move request",
Getting a download to a PDF file,faq_intent,FALSE,Getting a download to a PDF file,"If you want a download link to a PDF file and the file was not brought into Doc Central originally as a PDF file, you will need to generate the PDF version first.  A RED PDF icon means there is no PDF version yet generated and one needs to be. If there is a WHITE PDF icon then you can click on the icon and get your PDF version. Remember that unlike the above links the PDF links always link to a particular version of a document.",
How do I create a PDF copy of a document,faq_intent,FALSE,How do I create a PDF copy of a document,"In EDCS a PDF was created anytime you uploaded a Microsoft Office document into the system.  In Doc Central, to save space, we only create PDF copies of Microsoft Office documents when you request one.  To see if one needs to be created look at the PDF icon next to the version.  If it is RED then you need to request one,  if it is WHITE then it is created and can be downloaded.  To request a PDF just click on the RED icon.  You will receive an email once it is created.  See below screen shot:",
How can I access my favorites,faq_intent,FALSE,How can I access my favorites,At the top of the any page in the black menu area you will see a My Favorites menu which can be clicked on to access your favorites.  To add a favorite see the above FAQ question on making a folder or file one of your favorites.,
Microsoft Office cut and paste links do not redirect correctly into Doc Central,faq_intent,FALSE,Microsoft Office cut and paste links do not redirect correctly into Doc Central,"If you are finding that a if you attempt to cut and paste a link into a Microsoft Office document (like Word) and the link does not redirect correctly into Doc Central, perform the steps below to fix the issue.",
What are some common troubleshooting tips when I encounter an issue,faq_intent,FALSE,What are some common troubleshooting tips when I encounter an issue,"Doc Central, like any browser based solution, can have browser related issues that can sometimes be fixed by doing the following:
Clear your browser cache.
Try a different browser (Internet Explorer, Firefox or Chrome)
 ",
Expanding the Document tree keeps jumping me to the top of the page,faq_intent,FALSE,Expanding the Document tree keeps jumping me to the top of the page,When traversing the Document tree if you click on the name of the folder it will expand and jump you back to the top of the Document tree (all browsers).  If you click on the folder icon next to the folder name it will expand and leave you where you are.  Use this tip to make moving through the Document tree faster.,
Why is my document not previewing correctly in the browser window,faq_intent,FALSE,Why is my document not previewing correctly in the browser window,There are several reasons why a document will not preview correctly in a browser window and they mostly have to do with how Doc Central generates PDF versions of the file (in the background) but cannot do so in certain cases.  We are working on surfacing up these reasons but for now use this list to help debug your issue.,
What do you mean by a document life cycle,faq_intent,FALSE,What do you mean by a document life cycle,Doc Central refers to a document's life cycle when we are talking about version history as well as ISO workflow history.,
Version History,faq_intent,FALSE,Version History,Any time a new version of a document is uploaded into Doc Central the version is incremented. The increment can be managed by you and can be a minor version (i.e. 1.1 -> 1.2) or a major version (1.0 -> 2.0). At the time of upload you can give an explanation of your reason for the version change.,
Workflow History,faq_intent,FALSE,Workflow History,Documents that go through a workflow create a workflow history that can be accessed at any time. Currently the only workflow in Doc Central is an Approval Workflow. Details on how to run an approval workflow can be found in another FAQ post. To access a document's workflow history click on the link in the document preview page under Workflows. See screen shot.,
How do I check out a document,faq_intent,FALSE,How do I check out a document,"To checkout a document in Doc Central you need to have the Folder Admin, Owner or Editor permission role on the document. If you do navigate to the document's preview page and checkout the document from the Document Actions menu. When you checkout a document you lock it from others so they cannot checkout the document and edit it while you are doing so.  The checkout operation will open a download window so you can download a copy of the document to your system to work on.",
How do I check in a document (also called Upload New Version),faq_intent,FALSE,How do I check in a document (also called Upload New Version),"Checking In a document is also called ""Upload New Version"". This action will upload the new version and remove the check out operation. You will notice that if you checked out a document you will also have the ability to cancel the checkout.",
Why is it called Upload New Version,faq_intent,FALSE,Why is it called Upload New Version,"It is called this because unlike EDCS where you had to Checkout a document in order to put in a new version, in Doc Central you can upload a new version without the need to check the old one out.  The only reason to checkout is to lock the file so others cannot work on it.",
What's the difference between a Working Copy and an Original Document,faq_intent,FALSE,What's the difference between a Working Copy and an Original Document,"When a document is checked out a Working Copy of the file is created and downloaded out of Doc Central for you to work on. Along with the Working Copy their is also an Original Document which for all purposes is the same document. The reason for this is that the base Alfresco product allowed for online editing but the Cisco version, to date, does not.",
What are the different states for a document,faq_intent,FALSE,What are the different states for a document,"Doc Central has the following states for a document:
Approval N.A. (default state)
Draft
Approved
Obsolete
Grandfathered  (state assigned to some old documents migrated into Doc Central from outside systems)",
How can I change document state,faq_intent,FALSE,How can I change document state,"You must be an Owner, Editor or Folder Admin to change a document's state from Approval N.A. to Draft or into Obsolete. To make a document Approved it must go through an approval workflow which again can only be started by the same three roles. A document needs to be in the Draft state in order to start a workflow on it.",
How do I know what role I have on a file or folder,faq_intent,FALSE,How do I know what role I have on a file or folder,When viewing a file either at the folder or file level view you will always see the highest level of permissions (i.e. role) for that object.,
What is inheritance and what does it do,faq_intent,FALSE,What is inheritance and what does it do,"Permission inheritance allows a document or folder to inherit the permissions from a folder higher up in the directory tree. Permissions can be inherited, set locally on the file or folder or both.",
How do I provide access to my documents to everyone at Cisco,faq_intent,FALSE,How do I provide access to my documents to everyone at Cisco,The answer is to use the default EVERYONE role that is in Doc Central. This group is everyone in Cisco who has access to Doc Central (i.e. anyone with CEC credentials). Give EVERYONE the Reader role for the documents/folders you wish to allow view rights for if you want them to Preview or Download a copy and Viewer role if you only want them to preview it online.,
How do I share with customers and partners,faq_intent,FALSE,How do I share with customers and partners,Doc Central has an external sharing application integrated into it called Doc Exchange. Doc Exchange allows you to share content with customers and partners as long as they have CCO login credentials. You can share specific files or folders with specific customers. See Doc Exchange FAQS for more information.,
How do I share Doc Central folders and files with my colleagues,faq_intent,FALSE,How do I share Doc Central folders and files with my colleagues,"To share files in Doc Central all you need to do is include a Share Link in any email, post or correspondence and make sure that the people you are wanting to share it with have the correct access role assigned. The Share link can be found on the folder view or page preview view.
 
Roles to allows users to access content can be assigned using the Manage Permissions feature which is accessible to Owners and Folder Admins. Viewer role will allow users to preview the document in a browser, Reader will allow them to download a copy and Editor will allow them to edit and update the document.",
How do I change the owner of a file,faq_intent,FALSE,How do I change the owner of a file,"To change or add an Owner to a file you need to be an Owner or Folder Admin on the file you wish to update. If you are do the following:
1. Select Manage Permissions button
2. Search for the user you wish to add in as an Owner
3. Add the user to the file and assign the Owner role",
How do I view the permissions on a file or folder,faq_intent,FALSE,How do I view the permissions on a file or folder,"On any file or folder in the system you can see your permissions on that object by looking for the Permission Role statement. This statement will be unique to you and your permissions for that object. On top of that, if you see a RED DOT next to the statement it denotes that permission inheritance is off.",
Can I remove the EVERYONE group and what is it there for,faq_intent,FALSE,Can I remove the EVERYONE group and what is it there for,The User role assigned to the EVERYONE group is a default user group placed on all content in Doc Central.  The purpose of this group is to allow everyone in the system to see all the content and to be able to perform searches to find this content. Note that the EVERYONE group provides very limited access to a document or folder.,
What is the difference between a parallel and serial workflow,faq_intent,FALSE,What is the difference between a parallel and serial workflow,A parallel workflow will send approval requests to all approvers at one time and there is no order to whom completes their tasks first. Once all approvers have accepted the document it will be marked as approved.  In a serial workflow the order of who you set up as approvers is followed and approver #2 will not get a request to approve the document until approver #1 has completed their task.,
What happens when someone rejects a workflow,faq_intent,FALSE,What happens when someone rejects a workflow,"When someone who has been asked to approve a document rejects it the rejected task goes back to the originator of the workflow for further action. The originator can then choose to cancel the workflow or resubmit the same document to the approver again with further clarification.
If the document needs to be updated, based on the comments provided by the user who rejected the document, the workflow needs to be cancelled. Once the updates have been made a new workflow can be started.",
Who can cancel a workflow,faq_intent,FALSE,Who can cancel a workflow,The originator of the workflow plus any user who has Folder Admin rights on the document has the ability to cancel an active workflow.,
How do I know if a document is currently in a workflow,faq_intent,FALSE,How do I know if a document is currently in a workflow,"If a document is currently in an active workflow you will notice that the Document Action's menu has limited capabilities. This is because if there is an active workflow going on you do not want other users to be able to checkout, edit or upload a new version of the document.",
How do I see the history of past workflows,faq_intent,FALSE,How do I see the history of past workflows,To view the history of past workflows click on the title of the document to take you to the document details page.  On the right side scroll down to the Workflows menu and select the Workflow History link.,
How do I publish content from Doc Central to Doc Exchange,faq_intent,FALSE,How do I publish content from Doc Central to Doc Exchange,"If publishing is enabled from a folder, you can publish files by clicking on the Publish button under Document Actions and following the instructions on the screen. If publishing is disabled you will have to contact your folder admin to enable publishing.* Publishing may be disabled in some folders by design.",
Why CiscoDocs is beeing migrated,faq_intent,FALSE,Why CiscoDocs is beeing migrated,"Cisco Docs uses EMC's Documentum as its back end and this is no longer being supported to the degree that is required by Cisco.  Doc Central, built on top of Alfresco, allows Cisco to meet required security features as well as provide an extendable infrastructure for future growth.",
Cisco Docs to Doc Central Migration Overview,faq_intent,FALSE,Cisco Docs to Doc Central Migration Overview,"During migration content will continue to be accessible through Cisco Docs.  Cisco Docs has approximately 70 TB of content and much of it is old so not all of it will be migrated.  Content that will be migrated will fall into one or more of these categories:
Content that is marked as a record (records retention schedule)
Content that was created or modified with the past 3 years
Content that was downloaded in the past year
Content that is on ""legal hold""",
What are the migration steps,faq_intent,FALSE,What are the migration steps,"Migration will occur in the background during which time you will continue to work in Cisco Docs.  Based on the above freeze dates and cut over schedule, folders will be moved over and made active in Doc Central.
The Cisco Docs content will go to a temporary folder in Doc Central (Cisco Docs and EDCS Legacy -> Cisco Docs - Migration) with the current folder structure you had in Cisco Docs intact.  From this temporary location content owners should organize and move their content to its final ""home"" somewhere outside of this area.
Content will not be moved from the temporary area unless done so by the document owner or business group Folder Admins.  Content not migrated will remain in Cisco Docs for a year during which time you will be able to open a request to move it to Doc Central if needed.",
What do I need to do to get ready for the migration,faq_intent,FALSE,What do I need to do to get ready for the migration,"To get ready for the migration it is best to do a few things ...
Identify where you content is in Cisco Docs.  By doing this you will be ready to organize and move it around once it gets migrated over.
Review the permission access you have set up.  Often groups are used to determine access to content so be sure to review these groups, who is present in them and what type of access they have.
Delete unwanted content.  Remove any empty folders or old documents you no longer require.
Decide who your Folder Admin's will be.  Folder Admin's help to administer the content in a folder area and can create new ones, move them around and rename them.  Decide who your folder admins should be to be in charge of this.",
Is there a tool available that lets me migrate my content to Doc Central from Cisco Docs myself,faq_intent,FALSE,Is there a tool available that lets me migrate my content to Doc Central from Cisco Docs myself,"No. Currently there is no self-migration tool available. We are working on a tool so users can upload lots of documents at a single time, but if you have a significant amount of content in Cisco Docs today, you will need to wait until we are able to migrate over your content over. You could manually move over a small amount of content if you would prefer to do so, but it is not a automated process.",
Will the Cisco Docs redirection links still work,faq_intent,FALSE,Will the Cisco Docs redirection links still work,Yes they will.  Cisco Doc redirection links till work and be redirected to their location in Doc Central.  We will support those redirects indefinitely but we do encourage you to update your links to use the new Doc Central syntax.,
What Cisco Docs features are not yet in DocCentral,faq_intent,FALSE,What Cisco Docs features are not yet in DocCentral,"Cisco Docs allows you to delete content.  Doc Central will add this feature, with restrictions, once we have developed and deployed the legal hold feature for Cisco's legal team.
Access reporting.  Cisco Docs provided a way to retrieve access reports on views and downloads.  We are working on adding that report feature.",
Do I have an API for application Integration ,faq_intent,FALSE,Do I have an API for application Integration ,"Cisco Docs allows you to delete content.  Doc Central will add this feature, with restrictions, once we have developed and deployed the legal hold feature for Cisco's legal team.
Access reporting.  Cisco Docs provided a way to retrieve access reports on views and downloads.  We are working on adding that report feature.",
Doc Central Live Support,faq_intent,FALSE,Doc Central Live Support,"Click on <a href=""https://clicktochat.cloudapps.cisco.com/initiateChat.htm?appId=doc-central"" target=_blank>Doc Central Live Suppot</a>",
IT Support Management Platform Remedy,faq_intent,FALSE,IT Support Management Platform Remedy,"Click on <a href=""https://itst-prd.cisco.com:5431/arsys/shared/login.jsp?/arsys/forms/itstapp/SRS:ServiceRequestConsole/?F303900000=3&F303906900=&F303906700=0&F303902000=0&F303902100=0&F303901700=doccentralsupport"" target=_blank>IT Support Management Platform Remedy_link</a>",
Doc Central application URL,faq_intent,FALSE,Doc Central application URL,"Click <a href=""https://docs-stg.cisco.com/share"" target=_blank>here</a>",
What are my post migration steps,faq_intent,FALSE,What are my post migration steps,"Migration will occur in the background during which time you will continue to work in Cisco Docs.  Based on the above freeze dates and cut over schedule, folders will be moved over and made active in Doc Central.
During the freeze period you will have read-only, download access to your Cisco Docs content.  If you have already checked out content in Cisco Docs and need to check it back in during the freeze period, wait till after the freeze period is over and perform an ""Upload New Version"" operation in Doc Central.
Content will not be moved from the temporary area unless done so by the document owner or business group Folder Admins.  This area will never be removed so technically you can keep your content here but we prefer you do not.  The idea is that you take this opportunity to organize your content and its folder structure, review the permissions for the content and then move it to the correct folder under the Documents folder tree.  If you think your content needs to be under the Documents -> Finance area ... use the Request New Folder button to get a folder where you have write access to move the folders/files into.
Your Cisco Docs content will go to a temporary folder in Doc Central (Cisco Docs and EDCS Legacy -> Cisco Docs - Migration) with the current folder structure you had in Cisco Docs intact.  From this temporary location content owners should organize and move their content to its final ""home"" somewhere outside of this area.
The only content not migrated is Cisco Docs archived content.  This content will remain in Cisco Docs for a year during which time you will be able to open a request to move it to Doc Central if needed.",
"How long will the content say in this ""temporary area"" on Doc Central",faq_intent,FALSE,"How long will the content say in this ""temporary area"" on Doc Central",Content will stay in the temporary location until it's moved or until it has reached its deletion date under the purge rule or record retention rule (depending on whether it has been designated a record or not).,
How do I find my content once it is migrated,faq_intent,FALSE,How do I find my content once it is migrated,All migrated content gets placed in he same top level folder of Documents -> Legacy EDCS and Cisco Docs -> Cisco Docs - Migration.  After that level the folder structure is identical to what you are used to seeing in Cisco Docs.  An alternative method to find your documents would be to search by your userid (which is fine unless you own a lot of documents which may give you a lengthy search result).,
What content is going to be migrated,faq_intent,FALSE,What content is going to be migrated,"Content that will be migrated will fall into one or more of these categories:
Content that is marked as a record (records retention schedule)
Content that was created or modified with the past 3 years
Content that was downloaded in the past year
Content that is on ""legal hold""",
How to create a generic userid,faq_intent,FALSE,How to create a generic userid,"If you do not already have a generic userid, create one by going to <a href=""https://eman-ssl.cisco.com/OPDATA/ActiveDirectory/adam/index.pmcgi"" target= _blank>adm.cisco.com </a>-- select ""Generic"" -- select ""create""",
