Question,Answer
How to install new plugin in jenkins,"Best approach will be to open a case in srm.cisco.com in Service Now under ""Software Development Automation"", and provide the necessary details as below:
--> Why you need it
--> What's the advantage of having this in your project
--> It's criticality
Once the case is submitted  support team will revert with  updates on the same."
Installation of plugin in jenkins,"Best approach will be to open a case in srm.cisco.com in Service Now under ""Software Development Automation"", and provide the necessary details as below:
--> Why you need it
--> What's the advantage of having this in your project
--> It's criticality
Once the case is submitted  support team will revert with  updates on the same."
plugin installation in jenkins,"Best approach will be to open a case in srm.cisco.com in Service Now under ""Software Development Automation"", and provide the necessary details as below:
--> Why you need it
--> What's the advantage of having this in your project
--> It's criticality
Once the case is submitted  support team will revert with  updates on the same."
In jenkins how to install new plugin?,"Best approach will be to open a case in srm.cisco.com in Service Now under ""Software Development Automation"", and provide the necessary details as below:
--> Why you need it
--> What's the advantage of having this in your project
--> It's criticality
Once the case is submitted  support team will revert with  updates on the same."
Install plugin in jenkins,"Best approach will be to open a case in srm.cisco.com in Service Now under ""Software Development Automation"", and provide the necessary details as below:
--> Why you need it
--> What's the advantage of having this in your project
--> It's criticality
Once the case is submitted  support team will revert with  updates on the same."
Build is failing due to 3rd party libraries missing in repository,Need to upload the respective jars in to artifactory and add the respective details(artifactory id and version number in pom.xml).Please find link:https://cisco.jiveon.com/docs/DOC-45943
Build is failing due to third party libraries missing in repository,Need to upload the respective jars in to artifactory and add the respective details(artifactory id and version number in pom.xml).Please find link:https://cisco.jiveon.com/docs/DOC-45943
How to get third party libraries ,Need to upload the respective jars in to artifactory and add the respective details(artifactory id and version number in pom.xml).Please find link:https://cisco.jiveon.com/docs/DOC-45943
How to manage third party libraries missing in repository,Need to upload the respective jars in to artifactory and add the respective details(artifactory id and version number in pom.xml).Please find link:https://cisco.jiveon.com/docs/DOC-45943
Third party libraries missing in repository,Need to upload the respective jars in to artifactory and add the respective details(artifactory id and version number in pom.xml).Please find link:https://cisco.jiveon.com/docs/DOC-45943
What are the steps to create tar.gz file as part of build.,"Resolution:

Step 1 : Add maven-assembly-plugin in pom.xml file as below

<plugin>

         <groupId>org.apache.maven.plugins</groupId>

         <artifactId>maven-assembly-plugin</artifactId>

         <version>2.4</version>

         <executions>

                 <execution>

                         <phase>package</phase>

                         <goals>

                                 <goal>single</goal>

                         </goals>

                 </execution>

         </executions>

         <configuration>

                 <appendAssemblyId>false</appendAssemblyId>

                 <descriptors>

                         <descriptor>assembly.xml</descriptor>

                 </descriptors>

         </configuration>

  </plugin>

 

 

Step 2 : Create or need to have assembly.xml file, Below is the content of assembly.xml file.

<?xml version=""1.0""?>

     <assembly>

          <id>${project.version}</id>

          <formats>

               <format>tar.gz</format>

          </formats>

          <files>

            <file>

                 <source>pom.xml</source>

                 <outputDirectory>/package</outputDirectory>

            </file>

          </files>

         <includeBaseDirectory>false</includeBaseDirectory>

          <fileSets>

                  <fileSet>

                      <directory>${project.build.directory}/../package</directory>

                      <outputDirectory>/</outputDirectory>

                   </fileSet>

          </fileSets>

     </assembly>"
Steps to create tar.gz file ,"Resolution:

Step 1 : Add maven-assembly-plugin in pom.xml file as below

<plugin>

         <groupId>org.apache.maven.plugins</groupId>

         <artifactId>maven-assembly-plugin</artifactId>

         <version>2.4</version>

         <executions>

                 <execution>

                         <phase>package</phase>

                         <goals>

                                 <goal>single</goal>

                         </goals>

                 </execution>

         </executions>

         <configuration>

                 <appendAssemblyId>false</appendAssemblyId>

                 <descriptors>

                         <descriptor>assembly.xml</descriptor>

                 </descriptors>

         </configuration>

  </plugin>

 

 

Step 2 : Create or need to have assembly.xml file, Below is the content of assembly.xml file.

<?xml version=""1.0""?>

     <assembly>

          <id>${project.version}</id>

          <formats>

               <format>tar.gz</format>

          </formats>

          <files>

            <file>

                 <source>pom.xml</source>

                 <outputDirectory>/package</outputDirectory>

            </file>

          </files>

         <includeBaseDirectory>false</includeBaseDirectory>

          <fileSets>

                  <fileSet>

                      <directory>${project.build.directory}/../package</directory>

                      <outputDirectory>/</outputDirectory>

                   </fileSet>

          </fileSets>

     </assembly>"
create tar.gz file ,"Resolution:

Step 1 : Add maven-assembly-plugin in pom.xml file as below

<plugin>

         <groupId>org.apache.maven.plugins</groupId>

         <artifactId>maven-assembly-plugin</artifactId>

         <version>2.4</version>

         <executions>

                 <execution>

                         <phase>package</phase>

                         <goals>

                                 <goal>single</goal>

                         </goals>

                 </execution>

         </executions>

         <configuration>

                 <appendAssemblyId>false</appendAssemblyId>

                 <descriptors>

                         <descriptor>assembly.xml</descriptor>

                 </descriptors>

         </configuration>

  </plugin>

 

 

Step 2 : Create or need to have assembly.xml file, Below is the content of assembly.xml file.

<?xml version=""1.0""?>

     <assembly>

          <id>${project.version}</id>

          <formats>

               <format>tar.gz</format>

          </formats>

          <files>

            <file>

                 <source>pom.xml</source>

                 <outputDirectory>/package</outputDirectory>

            </file>

          </files>

         <includeBaseDirectory>false</includeBaseDirectory>

          <fileSets>

                  <fileSet>

                      <directory>${project.build.directory}/../package</directory>

                      <outputDirectory>/</outputDirectory>

                   </fileSet>

          </fileSets>

     </assembly>"
Creation of tar.gz file during build,"Resolution:

Step 1 : Add maven-assembly-plugin in pom.xml file as below

<plugin>

         <groupId>org.apache.maven.plugins</groupId>

         <artifactId>maven-assembly-plugin</artifactId>

         <version>2.4</version>

         <executions>

                 <execution>

                         <phase>package</phase>

                         <goals>

                                 <goal>single</goal>

                         </goals>

                 </execution>

         </executions>

         <configuration>

                 <appendAssemblyId>false</appendAssemblyId>

                 <descriptors>

                         <descriptor>assembly.xml</descriptor>

                 </descriptors>

         </configuration>

  </plugin>

 

 

Step 2 : Create or need to have assembly.xml file, Below is the content of assembly.xml file.

<?xml version=""1.0""?>

     <assembly>

          <id>${project.version}</id>

          <formats>

               <format>tar.gz</format>

          </formats>

          <files>

            <file>

                 <source>pom.xml</source>

                 <outputDirectory>/package</outputDirectory>

            </file>

          </files>

         <includeBaseDirectory>false</includeBaseDirectory>

          <fileSets>

                  <fileSet>

                      <directory>${project.build.directory}/../package</directory>

                      <outputDirectory>/</outputDirectory>

                   </fileSet>

          </fileSets>

     </assembly>"
Creating tar.gz file while build,"Resolution:

Step 1 : Add maven-assembly-plugin in pom.xml file as below

<plugin>

         <groupId>org.apache.maven.plugins</groupId>

         <artifactId>maven-assembly-plugin</artifactId>

         <version>2.4</version>

         <executions>

                 <execution>

                         <phase>package</phase>

                         <goals>

                                 <goal>single</goal>

                         </goals>

                 </execution>

         </executions>

         <configuration>

                 <appendAssemblyId>false</appendAssemblyId>

                 <descriptors>

                         <descriptor>assembly.xml</descriptor>

                 </descriptors>

         </configuration>

  </plugin>

 

 

Step 2 : Create or need to have assembly.xml file, Below is the content of assembly.xml file.

<?xml version=""1.0""?>

     <assembly>

          <id>${project.version}</id>

          <formats>

               <format>tar.gz</format>

          </formats>

          <files>

            <file>

                 <source>pom.xml</source>

                 <outputDirectory>/package</outputDirectory>

            </file>

          </files>

         <includeBaseDirectory>false</includeBaseDirectory>

          <fileSets>

                  <fileSet>

                      <directory>${project.build.directory}/../package</directory>

                      <outputDirectory>/</outputDirectory>

                   </fileSet>

          </fileSets>

     </assembly>"
tar.gz file creation steps,"Resolution:

Step 1 : Add maven-assembly-plugin in pom.xml file as below

<plugin>

         <groupId>org.apache.maven.plugins</groupId>

         <artifactId>maven-assembly-plugin</artifactId>

         <version>2.4</version>

         <executions>

                 <execution>

                         <phase>package</phase>

                         <goals>

                                 <goal>single</goal>

                         </goals>

                 </execution>

         </executions>

         <configuration>

                 <appendAssemblyId>false</appendAssemblyId>

                 <descriptors>

                         <descriptor>assembly.xml</descriptor>

                 </descriptors>

         </configuration>

  </plugin>

 

 

Step 2 : Create or need to have assembly.xml file, Below is the content of assembly.xml file.

<?xml version=""1.0""?>

     <assembly>

          <id>${project.version}</id>

          <formats>

               <format>tar.gz</format>

          </formats>

          <files>

            <file>

                 <source>pom.xml</source>

                 <outputDirectory>/package</outputDirectory>

            </file>

          </files>

         <includeBaseDirectory>false</includeBaseDirectory>

          <fileSets>

                  <fileSet>

                      <directory>${project.build.directory}/../package</directory>

                      <outputDirectory>/</outputDirectory>

                   </fileSet>

          </fileSets>

     </assembly>"
how can I create tar.gz file as a part of build,"Resolution:

Step 1 : Add maven-assembly-plugin in pom.xml file as below

<plugin>

         <groupId>org.apache.maven.plugins</groupId>

         <artifactId>maven-assembly-plugin</artifactId>

         <version>2.4</version>

         <executions>

                 <execution>

                         <phase>package</phase>

                         <goals>

                                 <goal>single</goal>

                         </goals>

                 </execution>

         </executions>

         <configuration>

                 <appendAssemblyId>false</appendAssemblyId>

                 <descriptors>

                         <descriptor>assembly.xml</descriptor>

                 </descriptors>

         </configuration>

  </plugin>

 

 

Step 2 : Create or need to have assembly.xml file, Below is the content of assembly.xml file.

<?xml version=""1.0""?>

     <assembly>

          <id>${project.version}</id>

          <formats>

               <format>tar.gz</format>

          </formats>

          <files>

            <file>

                 <source>pom.xml</source>

                 <outputDirectory>/package</outputDirectory>

            </file>

          </files>

         <includeBaseDirectory>false</includeBaseDirectory>

          <fileSets>

                  <fileSet>

                      <directory>${project.build.directory}/../package</directory>

                      <outputDirectory>/</outputDirectory>

                   </fileSet>

          </fileSets>

     </assembly>"
How to modify group id and artifact id of pom.xml using script in Job configuration,"Resolution:

Navigate to Configure in Jenkins job page, Add pre-build step and select Execute shell, add the command.

Following are the steps to modify group id and  artifact id of pom.xml file in Job configuration

      1.  Select ""Execute Shell"" option from ""Add pre-build step""

   2. Add below command in provided command area.

               find . -name pom.xml -exec sed -i 's/Order_Orch_Group/it\.cvc\.ciscocommerce\.ccwooccwys2\.ys2oc2 /g' '{}' \; ;

Build Failure due to incorrect POM.XML path

Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.
Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.

"
How to change group id and artifact id of pom.xml using script in Job configuration,"Resolution:

Navigate to Configure in Jenkins job page, Add pre-build step and select Execute shell, add the command.

Following are the steps to modify group id and  artifact id of pom.xml file in Job configuration

      1.  Select ""Execute Shell"" option from ""Add pre-build step""

   2. Add below command in provided command area.

               find . -name pom.xml -exec sed -i 's/Order_Orch_Group/it\.cvc\.ciscocommerce\.ccwooccwys2\.ys2oc2 /g' '{}' \; ;

Build Failure due to incorrect POM.XML path

Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.
Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.

"
How to update group id and artifact id of pom.xml using script in Job configuration,"Resolution:

Navigate to Configure in Jenkins job page, Add pre-build step and select Execute shell, add the command.

Following are the steps to modify group id and  artifact id of pom.xml file in Job configuration

      1.  Select ""Execute Shell"" option from ""Add pre-build step""

   2. Add below command in provided command area.

               find . -name pom.xml -exec sed -i 's/Order_Orch_Group/it\.cvc\.ciscocommerce\.ccwooccwys2\.ys2oc2 /g' '{}' \; ;

Build Failure due to incorrect POM.XML path

Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.
Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.

"
updation of  group id and artifact id of pom.xml using script in Job configuration,"Resolution:

Navigate to Configure in Jenkins job page, Add pre-build step and select Execute shell, add the command.

Following are the steps to modify group id and  artifact id of pom.xml file in Job configuration

      1.  Select ""Execute Shell"" option from ""Add pre-build step""

   2. Add below command in provided command area.

               find . -name pom.xml -exec sed -i 's/Order_Orch_Group/it\.cvc\.ciscocommerce\.ccwooccwys2\.ys2oc2 /g' '{}' \; ;

Build Failure due to incorrect POM.XML path

Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.
Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.

"
Steps to modify group id and artifact id of pom.xml,"Resolution:

Navigate to Configure in Jenkins job page, Add pre-build step and select Execute shell, add the command.

Following are the steps to modify group id and  artifact id of pom.xml file in Job configuration

      1.  Select ""Execute Shell"" option from ""Add pre-build step""

   2. Add below command in provided command area.

               find . -name pom.xml -exec sed -i 's/Order_Orch_Group/it\.cvc\.ciscocommerce\.ccwooccwys2\.ys2oc2 /g' '{}' \; ;

Build Failure due to incorrect POM.XML path

Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.
Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.

"
Modification of  group id and artifact id of pom.xml using script in Job configuration,"Resolution:

Navigate to Configure in Jenkins job page, Add pre-build step and select Execute shell, add the command.

Following are the steps to modify group id and  artifact id of pom.xml file in Job configuration

      1.  Select ""Execute Shell"" option from ""Add pre-build step""

   2. Add below command in provided command area.

               find . -name pom.xml -exec sed -i 's/Order_Orch_Group/it\.cvc\.ciscocommerce\.ccwooccwys2\.ys2oc2 /g' '{}' \; ;

Build Failure due to incorrect POM.XML path

Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.
Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.

"
changing group id and artifact id of pom.xml,"Resolution:

Navigate to Configure in Jenkins job page, Add pre-build step and select Execute shell, add the command.

Following are the steps to modify group id and  artifact id of pom.xml file in Job configuration

      1.  Select ""Execute Shell"" option from ""Add pre-build step""

   2. Add below command in provided command area.

               find . -name pom.xml -exec sed -i 's/Order_Orch_Group/it\.cvc\.ciscocommerce\.ccwooccwys2\.ys2oc2 /g' '{}' \; ;

Build Failure due to incorrect POM.XML path

Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.
Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.

"
script modification of group id and artifact id of pom.xml in job configuration,"Resolution:

Navigate to Configure in Jenkins job page, Add pre-build step and select Execute shell, add the command.

Following are the steps to modify group id and  artifact id of pom.xml file in Job configuration

      1.  Select ""Execute Shell"" option from ""Add pre-build step""

   2. Add below command in provided command area.

               find . -name pom.xml -exec sed -i 's/Order_Orch_Group/it\.cvc\.ciscocommerce\.ccwooccwys2\.ys2oc2 /g' '{}' \; ;

Build Failure due to incorrect POM.XML path

Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.
Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.

"
Build failure due to incorrect pom.xml path,"Please find the Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.

Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.
Please refer this document for more information. Please visit the below page for more details.
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_Failure_due_to_incorrect_POMXML_path

"
What to do if build fails due to incorrect pom.xml path,"Please find the Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.

Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.
Please refer this document for more information. Please visit the below page for more details.
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_Failure_due_to_incorrect_POMXML_path

"
build failed due to wrong pom.xml path,"Please find the Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.

Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.
Please refer this document for more information. Please visit the below page for more details.
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_Failure_due_to_incorrect_POMXML_path

"
Steps to rebuild when build fails due to incorrect pom.xml path,"Please find the Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.

Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.
Please refer this document for more information. Please visit the below page for more details.
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_Failure_due_to_incorrect_POMXML_path

"
error due to wrong pom.xml path,"Please find the Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.

Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.
Please refer this document for more information. Please visit the below page for more details.
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_Failure_due_to_incorrect_POMXML_path

"
how to correct pom.xml path,"Please find the Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.

Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.
Please refer this document for more information. Please visit the below page for more details.
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_Failure_due_to_incorrect_POMXML_path

"
build issue for wrong pom.xml path,"Please find the Issue Description:

Build is failing due to incorrect path of pom.xml in Jenkins Configuration.

Resolution:

check the workspace and give the correct path of pom.xml in Root POM of Jenkins Configuration.
Please refer this document for more information. Please visit the below page for more details.
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_Failure_due_to_incorrect_POMXML_path

"
how to enable security scan in jenkins configuration,"If it is freestyle project, then please select ""Static Security Scan"" from Add build step

If it is a maven project, then please select ""Static security scan"" from Add Post Build Step option in Jenkins configuration

"
enable security scan,"If it is freestyle project, then please select ""Static Security Scan"" from Add build step

If it is a maven project, then please select ""Static security scan"" from Add Post Build Step option in Jenkins configuration

"
security scan enable in jenkins ,"If it is freestyle project, then please select ""Static Security Scan"" from Add build step

If it is a maven project, then please select ""Static security scan"" from Add Post Build Step option in Jenkins configuration

"
how to access security scan in jenkins configuration,"If it is freestyle project, then please select ""Static Security Scan"" from Add build step

If it is a maven project, then please select ""Static security scan"" from Add Post Build Step option in Jenkins configuration

"
security scan enablement in jenkins configuration,"If it is freestyle project, then please select ""Static Security Scan"" from Add build step

If it is a maven project, then please select ""Static security scan"" from Add Post Build Step option in Jenkins configuration

"
security scan enablement ,"If it is freestyle project, then please select ""Static Security Scan"" from Add build step

If it is a maven project, then please select ""Static security scan"" from Add Post Build Step option in Jenkins configuration

"
modify security scan,"If it is freestyle project, then please select ""Static Security Scan"" from Add build step

If it is a maven project, then please select ""Static security scan"" from Add Post Build Step option in Jenkins configuration

"
change security scan in jenkins,"If it is freestyle project, then please select ""Static Security Scan"" from Add build step

If it is a maven project, then please select ""Static security scan"" from Add Post Build Step option in Jenkins configuration

"
allow security scan in jenkins,"If it is freestyle project, then please select ""Static Security Scan"" from Add build step

If it is a maven project, then please select ""Static security scan"" from Add Post Build Step option in Jenkins configuration

"
provide security scan in jenkins,"If it is freestyle project, then please select ""Static Security Scan"" from Add build step

If it is a maven project, then please select ""Static security scan"" from Add Post Build Step option in Jenkins configuration

"
build is failing due to static security scan,"Issue Description :

Jenkins Build is failing with due to Static Security Scan as shown in below screenshot.

Resolution :

Once we add the Repository URL(code base URL) under SCM details in Jenkins configuration, issue will be resolved.

 "
build error due to static security scan,"Issue Description :

Jenkins Build is failing with due to Static Security Scan as shown in below screenshot.

Resolution :

Once we add the Repository URL(code base URL) under SCM details in Jenkins configuration, issue will be resolved.

 "
build cancelled due to static security scan,"Issue Description :

Jenkins Build is failing with due to Static Security Scan as shown in below screenshot.

Resolution :

Once we add the Repository URL(code base URL) under SCM details in Jenkins configuration, issue will be resolved.

 "
static security scan build error,"Issue Description :

Jenkins Build is failing with due to Static Security Scan as shown in below screenshot.

Resolution :

Once we add the Repository URL(code base URL) under SCM details in Jenkins configuration, issue will be resolved.

 "
build issue in static security scan,"Issue Description :

Jenkins Build is failing with due to Static Security Scan as shown in below screenshot.

Resolution :

Once we add the Repository URL(code base URL) under SCM details in Jenkins configuration, issue will be resolved.
"
"While downloading the jar from artifactory, unauthorized error is coming in build","Resolution :
Please add jenkins-ci.gen to your respective adam groups which has the access to the artifactory."
"artifactory, unauthorized error coming in build while downloading the jar","Resolution :
Please add jenkins-ci.gen to your respective adam groups which has the access to the artifactory."
unauthorized error is coming while downloading jar from artifactory ,"Resolution :
Please add jenkins-ci.gen to your respective adam groups which has the access to the artifactory."
unauthorized issue when downloading the jar from artifactory,"Resolution :
Please add jenkins-ci.gen to your respective adam groups which has the access to the artifactory."
unauthorized error downloading jar ,"Resolution :
Please add jenkins-ci.gen to your respective adam groups which has the access to the artifactory."
How to generate CD analytics report from jenkins job?,"By default, every Jenkins job is enabled for CD analytics report generation, you can access the report from below URL:
https://cdanalytics.cisco.com/software/home"
generating cd analytics report from jenkins job,"By default, every Jenkins job is enabled for CD analytics report generation, you can access the report from below URL:
https://cdanalytics.cisco.com/software/home"
report generation of cd analytics from jenkins job,"By default, every Jenkins job is enabled for CD analytics report generation, you can access the report from below URL:
https://cdanalytics.cisco.com/software/home"
how to create cd analytics report from jenkins job,"By default, every Jenkins job is enabled for CD analytics report generation, you can access the report from below URL:
https://cdanalytics.cisco.com/software/home"
creation of cd analytics report,"By default, every Jenkins job is enabled for CD analytics report generation, you can access the report from below URL:
https://cdanalytics.cisco.com/software/home"
produce cd analytics report from jenkins job,"By default, every Jenkins job is enabled for CD analytics report generation, you can access the report from below URL:
https://cdanalytics.cisco.com/software/home"
report of cd analytics from jenkins,"By default, every Jenkins job is enabled for CD analytics report generation, you can access the report from below URL:
https://cdanalytics.cisco.com/software/home"
How to enable jenkins for performing git push operation for new tag creation while performing artifactory release staging build?,"Every activity in Jenkins is been carried by “dftjenkins” generic user

**) Your repository hosted in gitscm.cisco.com, do have provisioned for read only with “dftjenkins” users. So is the reason, when Jenkins build tries for any git push from build, it failed.

**) If you want this git push and tag creation to happen, you have to provide the “dftjenkins” generic user provisioned for your repository with Read/Write permission.

NOTE: Post this change, Jenkins will be authorized to commit your code for every build when any git operation will get called."
while performing artifactory release staging build enable jenkins for performing git push operation for new tag creation,"Every activity in Jenkins is been carried by “dftjenkins” generic user

**) Your repository hosted in gitscm.cisco.com, do have provisioned for read only with “dftjenkins” users. So is the reason, when Jenkins build tries for any git push from build, it failed.

**) If you want this git push and tag creation to happen, you have to provide the “dftjenkins” generic user provisioned for your repository with Read/Write permission.

NOTE: Post this change, Jenkins will be authorized to commit your code for every build when any git operation will get called."
enbaling jenkins for performing git push operation for new tag creation,"Every activity in Jenkins is been carried by “dftjenkins” generic user

**) Your repository hosted in gitscm.cisco.com, do have provisioned for read only with “dftjenkins” users. So is the reason, when Jenkins build tries for any git push from build, it failed.

**) If you want this git push and tag creation to happen, you have to provide the “dftjenkins” generic user provisioned for your repository with Read/Write permission.

NOTE: Post this change, Jenkins will be authorized to commit your code for every build when any git operation will get called."
enable jenkins for performing git push operation,"Every activity in Jenkins is been carried by “dftjenkins” generic user

**) Your repository hosted in gitscm.cisco.com, do have provisioned for read only with “dftjenkins” users. So is the reason, when Jenkins build tries for any git push from build, it failed.

**) If you want this git push and tag creation to happen, you have to provide the “dftjenkins” generic user provisioned for your repository with Read/Write permission.

NOTE: Post this change, Jenkins will be authorized to commit your code for every build when any git operation will get called."
